tipo,fecha,hora,recinto,nombre,lat,lon,descripcion,link,patrocinado,patrocinado_url
CONCIERTOS,18/09/2025,20:00,LA RIVIERA,The Cat Empire,"40,4131550792513","-3,7213574704373",,HoustonParty,,
CONCIERTOS,18/10/2025,20:00,FOTOMATÓN,Dropkick + Playa Garufa,"40,4247723989232","-3,7095611079372",,Mutick,,
CONCIERTOS,18/10/2025,20:00,CLAMORES,Al-lèrgiques Al Pol-len,"40,4312812770905","-3,7010113384483",,https://dice.fm,,
CONCIERTOS,18/10/2025,20:00,EL SOL,Papá Topo,"40,4167000000000","-3,7036000000000",,Entradium,,
CONCIERTOS,18/11/2025,20:00,TEATRO MAGNO,Valerie June,"40,4174952425061","-3,6977317183065",,TicketMaster,,
CONCIERTOS,18/12/2025,20:00,EL SOL,Amor Líquido,"40,4167000000000","-3,7036000000000",,Dice,,
CONCIERTOS,19/09/2025,20:00,EL NIDO,Ibon RG y Enrike Hurtado,"40,4363619750199","-3,6672376965851",Se paga la voluntad y todo el dinero va para los artistas,-,,
CONCIERTOS,19/09/2025,20:00,EL SOL,Nadie Patín,"40,4167000000000","-3,7036000000000",,Dice,,
CONCIERTOS,19/09/2025,20:00,VILLANOS,Dr Feelgood + Nine Below Zero,"40,4041503300863","-3,6998350852109",,Mutick,,
CONCIERTOS,19/10/2025,20:00,LA RIVIERA,Kae Tempest + Jacob Alon,"40,4131550792513","-3,7213574704373",,TicketMaster,,
CONCIERTOS,19/11/2025,20:00,TEATRO MAGNO,Kraak & Smaak,"40,4174952425061","-3,6977317183065",,TicketMaster,,
CONCIERTOS,20/03/2026,20:00,COPÉRNICO,Rata Negra,"40,4355811572583","-3,7136034056273",,Dice,,
CONCIERTOS,20/09/2025,20:00,EL SOL,Cora Yako + Biblical Soccer,"40,4167000000000","-3,7036000000000",,Dice,,
CONCIERTOS,20/09/2025,20:00,Universidad Autónoma de Madrid,Gorillaz,"40,5485896739473","-3,6939327493654",Dentro de un festival de electrónica llamado Pulse of Gaia,????,,
CONCIERTOS,20/09/2025,20:00,WURLITZER,Floodlights (UK),"40,4198497297943","-3,7024780928829",,FeverUp,,
CONCIERTOS,20/09/2025,20:00,EL SOL,Cora Yako + Biblical Soccer        ,"40,4167000000000","-3,7036000000000","Precio: 16,5€",https://dice.fm,,
CONCIERTOS,20/10/2025,20:00,CAFÉ BERLÍN,Ramirez,"40,4197273280049","-3,7080502925965",Rapero americano,Ticketmaster,,
CONCIERTOS,20/10/2025,20:00,GRUTA 77,Bad Manners,"40,3913295462667","-3,7305702550977",,MovingTickets,,
CONCIERTOS,20/11/2025,20:00,WURLITZER,The Tubs,"40,4198497297943","-3,7024780928829",,Dice,,
CONCIERTOS,21/11/2025,20:00,EL SOL,La Élite,"40,4167000000000","-3,7036000000000",,Dice,,
CONCIERTOS,21/11/2025,20:00,WAGON,The Psychedelic Furs,"40,4716159208415","-3,6820789465706",,TicketMaster,,
CONCIERTOS,22/10/2025,20:00,EL SOL,La Luz,"40,4167000000000","-3,7036000000000",,Dice,,
CONCIERTOS,22/11/2025,20:00,WURLITZER,Alavedra,"40,4198497297943","-3,7024780928829",,Dice,,
CONCIERTOS,23/01/2026,20:00,SALA B,Casapalma,"40,4335663178155","-3,6919304107958",,Dice,,
CONCIERTOS,23/09/2025,20:00,WAGON,The Lemonheads,"40,4716159208415","-3,6820789465706",,????,,
CONCIERTOS,23/09/2025,20:00,COPÉRNICO,Electric Mary (AUS),"40,4355811572583","-3,7136034056273",Gira de despedida,Mutick,,
CONCIERTOS,23/10/2025,20:00,BUT,"Los Punsetes (tocando ""LPIV"")","40,4270811442368","-3,6998273772551",,OchoYMedio,,
CONCIERTOS,23/10/2025,20:00,TEATRO ESLAVA,McEnroe,"40,4173270379631","-3,7062764256930",,OchoYMedio,,
CONCIERTOS,24/09/2025,20:00,EL SÓTANO,The Happy Fits,"40,4112536290117","-3,7074120391877",,FeverUp,,
